Date,Ticker,ret,ret_z,vol_z,range_pct,km_flag,db_flag,consensus_union,type
2020-01-23,NFLX,0.0723926567592503,3.928758783563853,2.358018438409923,100.0,1,0,1,spike+range_extreme
2020-01-24,INTC,0.0813328679715565,5.596721329223415,3.955313285032473,98.4126984126984,1,1,1,spike+volume_shock+range_extreme
2020-01-30,MSFT,0.0282076190755418,3.13159256317503,3.95816576270228,96.82539682539682,1,0,1,spike+volume_shock+range_extreme
2020-01-31,AMZN,0.0737913021087453,7.007575778431336,6.447519083691283,98.4126984126984,1,1,1,spike+volume_shock+range_extreme
2020-02-03,GOOGL,0.0347715247772619,3.5027428297775365,3.29368322236423,93.65079365079364,1,0,1,spike+volume_shock
2020-02-03,TSLA,0.1989486007941316,6.727759547505935,2.591030591489828,100.0,1,1,1,spike+volume_shock+range_extreme
2020-02-04,TSLA,0.1372564071264022,3.3568307222421607,2.8848919314559587,100.0,1,0,1,spike+volume_shock+range_extreme
2020-02-14,NVDA,0.0702046717183819,3.5922064475809425,3.623783263830416,80.95238095238095,1,0,1,spike+volume_shock
2020-02-24,QQQ,-0.0385634818622679,-4.94299817740787,3.27812751684656,93.65079365079364,1,0,1,crash+volume_shock
2020-02-27,MSFT,-0.0704589858504926,-5.316049773050849,2.865145623839504,98.4126984126984,1,0,1,crash+volume_shock+range_extreme
2020-02-27,QQQ,-0.0500739418851253,-4.9819038254429175,2.581588537619361,100.0,1,0,1,crash+volume_shock+range_extreme
2020-03-02,AAPL,0.0931007227495293,5.068937607850722,1.977621132179016,98.4126984126984,1,0,1,spike+range_extreme
2020-03-02,MSFT,0.0665390972458925,3.924463701523357,1.2786549621032737,96.82539682539682,1,0,1,spike+range_extreme
2020-03-02,QQQ,0.0516034769665971,4.261868308342631,1.6418959234031574,98.4126984126984,1,0,1,spike+range_extreme
2020-03-13,AAPL,0.1198082665473159,4.066681380386517,1.2104956254645796,100.0,1,0,1,spike+range_extreme
2020-03-13,GOOGL,0.0924114670422799,4.079683517407965,1.2933302765128187,100.0,1,0,1,spike+range_extreme
2020-03-13,INTC,0.195212982233764,6.4559492991017935,1.0381739752079606,100.0,1,0,1,spike+range_extreme
2020-03-13,MSFT,0.1421688811991437,5.213768810520334,1.312093419828836,100.0,1,0,1,spike+range_extreme
2020-03-27,INTC,-0.0570760160494765,-1.1128393574356688,-1.7404419151137032,74.60317460317461,1,0,1,normal
2020-03-27,QQQ,-0.0343928663608337,-0.9834578443907164,-2.9314654210112674,68.25396825396825,1,0,1,normal
2020-03-30,QQQ,0.0363733951612099,1.1109552088521664,-3.0849551430304243,71.42857142857143,1,0,1,normal
2020-04-01,AAPL,-0.0526170513086924,-1.23838852832548,-1.793435088107677,66.66666666666666,1,0,1,normal
2020-04-01,INTC,-0.0413894661488959,-0.7835932943149615,-1.7606403315620698,79.36507936507937,1,0,1,normal
2020-04-01,NFLX,-0.0304128187156708,-0.9261157079818948,-1.31858432095196,74.60317460317461,1,0,1,normal
2020-04-01,QQQ,-0.0424894779266066,-1.1976909038043004,-1.998544234158362,71.42857142857143,1,0,1,normal
