Date,market_ret,breadth,market_anomaly_flag,flag_rate
2020-01-02,0.0212205612706448,1.0,0,0.1111111111111111
2020-01-03,-0.0065661387473077,0.1111111111111111,1,0.0
2020-01-06,0.0121805595137669,0.8888888888888888,0,0.3333333333333333
2020-01-07,0.0005882670321992,0.3333333333333333,0,0.0
2020-01-08,0.0129253980547998,0.8888888888888888,0,0.1111111111111111
2020-01-09,0.0046140934638027,0.7777777777777778,0,0.0
2020-01-10,-0.0038796727672577,0.3333333333333333,0,0.0
2020-01-13,0.0252288951462754,1.0,0,0.1111111111111111
2020-01-14,-0.0044145180527891,0.1111111111111111,1,0.0
2020-01-15,-0.0050545789520598,0.4444444444444444,0,0.0
2020-01-16,0.0079452215163165,0.7777777777777778,0,0.0
2020-01-17,0.0036112524716736,0.6666666666666666,0,0.0
2020-01-21,0.009280125267992,0.4444444444444444,0,0.2222222222222222
2020-01-22,0.0055446408339786,0.6666666666666666,0,0.3333333333333333
2020-01-23,0.0122936471587956,0.8888888888888888,0,0.1111111111111111
2020-01-24,0.0025761663377597,0.2222222222222222,1,0.7777777777777778
2020-01-27,-0.0256613383412538,0.0,1,0.6666666666666666
2020-01-28,0.0199278934236961,1.0,0,0.0
2020-01-29,0.0033449247550585,0.6666666666666666,0,0.2222222222222222
2020-01-30,0.017220210631058,0.7777777777777778,0,0.3333333333333333
2020-01-31,-0.009409991917314,0.2222222222222222,1,0.5555555555555556
2020-02-03,0.0366424762139274,0.7777777777777778,1,0.5555555555555556
2020-02-04,0.0332079094610263,0.8888888888888888,1,0.4444444444444444
2020-02-05,-0.0134077521260744,0.6666666666666666,0,0.3333333333333333
2020-02-06,0.0104439164756651,0.8888888888888888,0,0.1111111111111111
2020-02-07,-0.0031412015226689,0.3333333333333333,0,0.1111111111111111
2020-02-10,0.0203145524337289,1.0,0,0.2222222222222222
2020-02-11,0.0028399933671681,0.7777777777777778,0,0.2222222222222222
2020-02-12,0.0078623911155928,0.8888888888888888,0,0.0
2020-02-13,0.0025323867083627,0.2222222222222222,1,0.0
2020-02-14,0.0076347192708928,0.5555555555555556,0,0.1111111111111111
2020-02-18,0.0112649987427774,0.7777777777777778,0,0.1111111111111111
2020-02-19,0.0197604980837545,0.8888888888888888,0,0.1111111111111111
2020-02-20,-0.012421607251078,0.0,1,0.4444444444444444
2020-02-21,-0.0222267310356051,0.1111111111111111,1,0.5555555555555556
2020-02-24,-0.0476350011456714,0.0,1,0.6666666666666666
2020-02-25,-0.0285919006325516,0.0,1,0.8888888888888888
2020-02-26,0.0096443963821031,0.7777777777777778,0,0.5555555555555556
2020-02-27,-0.0617841178308212,0.0,1,1.0
2020-02-28,0.0091974631495136,0.4444444444444444,0,0.8888888888888888
2020-03-02,0.0556564477122582,1.0,1,0.6666666666666666
2020-03-03,-0.0306235766700009,0.1111111111111111,1,0.8888888888888888
2020-03-04,0.0396852490422057,1.0,0,0.1111111111111111
2020-03-05,-0.032583058175248,0.0,1,0.2222222222222222
2020-03-06,-0.0190574068454044,0.0,1,0.0
2020-03-09,-0.0770209227474284,0.0,1,1.0
2020-03-10,0.0591040485953178,1.0,1,0.6666666666666666
2020-03-11,-0.0407401255877142,0.0,1,0.1111111111111111
2020-03-12,-0.1002931670014057,0.0,1,0.8888888888888888
2020-03-13,0.0949199253348735,0.8888888888888888,1,1.0
2020-03-16,-0.1364407561752026,0.0,1,1.0
2020-03-17,0.0644277675907783,0.8888888888888888,0,0.8888888888888888
2020-03-18,-0.0442583195526462,0.1111111111111111,1,0.3333333333333333
2020-03-19,0.0347477999557053,0.7777777777777778,0,0.4444444444444444
2020-03-20,-0.0257756849648932,0.1111111111111111,1,0.3333333333333333
2020-03-23,0.0223187077378849,0.6666666666666666,0,0.0
2020-03-24,0.0825888837719422,0.8888888888888888,0,0.3333333333333333
2020-03-25,-0.0095090847680793,0.1111111111111111,1,0.0
2020-03-26,0.047868595306478,0.8888888888888888,0,0.0
2020-03-27,-0.0341524250393949,0.0,1,0.0
2020-03-30,0.0363070331257788,0.8888888888888888,0,0.0
2020-03-31,0.0004112467704335,0.3333333333333333,0,0.0
2020-04-01,-0.048261403113099,0.0,1,0.0
